nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Kayla Frazier,"Rp209,900,595","Rp49,824,753","Rp44,721,553","Rp191,995,216",4.45,33.02,2.8,87044919,8.0,0.7
Elijah Hunt,"Rp335,190,492","Rp39,213,003","Rp38,857,821","Rp356,007,685",7.78,133.67,11.1,188412439,59.7,5.0
Jason Warner MD,"Rp260,975,502","Rp19,689,088","Rp10,025,407","Rp362,773,509",11.46,27.63,2.3,232285758,9.8,0.8
Mark Murray,"Rp469,535,466","Rp24,611,573","Rp23,131,601","Rp235,341,449",7.63,79.07,6.6,573716,0.2,0.0
Mia Osborne DVM,"Rp137,521,863","Rp47,166,109","Rp27,554,414","Rp180,125,332",1.81,9.06,0.8,111364401,2.8,0.2
Thomas Sullivan,"Rp433,734,972","Rp10,102,173","Rp10,102,173","Rp73,546,052",14.41,83.28,6.9,0,0.0,0.0
Blake Carroll,"Rp425,968,276","Rp48,388,538","Rp15,476,005","Rp308,646,209",14.2,8.44,0.7,95662071,1.4,0.1
Glenda Mitchell,"Rp143,224,038","Rp41,720,111","Rp5,151,882","Rp173,310,805",11.99,4.53,0.4,101698786,1.4,0.1
Kathryn Kerr,"Rp314,224,377","Rp25,064,334","Rp25,064,334","Rp396,230,520",14.88,80.65,6.7,239118332,40.3,3.4
Jacqueline Bennett,"Rp143,120,466","Rp17,681,316","Rp17,681,316","Rp194,074,497",8.62,139.21,11.6,122514264,69.6,5.8
Matthew Smith,"Rp439,389,014","Rp49,963,540","Rp5,210,016","Rp379,931,553",14.48,7.70,0.6,160237046,1.7,0.1
Monica Leon,"Rp259,467,210","Rp7,100,673","Rp7,100,673","Rp162,906,799",2.06,582.52,48.5,33173194,291.3,24.3
Edward Miller,"Rp371,846,218","Rp38,088,458","Rp37,943,815","Rp370,769,138",6.12,182.15,15.2,184846029,85.0,7.1
Michael Price,"Rp369,525,748","Rp45,258,866","Rp25,773,962","Rp116,555,196",4.16,5.86,0.5,0,0.0,0.0
Christopher Patterson,"Rp444,285,667","Rp36,881,791","Rp24,750,760","Rp200,128,405",3.74,15.69,1.3,0,0.0,0.0
Jessica Cunningham,"Rp86,737,383","Rp32,367,077","Rp32,367,077","Rp179,322,251",2.97,404.04,33.7,135953560,202.0,16.8
Matthew Lewis Jr.,"Rp366,794,007","Rp9,953,757","Rp9,953,757","Rp272,460,951",9.71,123.58,10.3,89063948,61.8,5.1
Ashley Parker,"Rp121,190,146","Rp37,104,654","Rp11,825,144","Rp163,785,518",11.94,6.09,0.5,103190445,2.0,0.2
William Contreras,"Rp98,409,749","Rp35,843,745","Rp35,843,745","Rp58,698,471",9.1,131.87,11.0,9493597,65.9,5.5
Mallory Wise,"Rp252,285,876","Rp22,350,835","Rp10,033,951","Rp247,251,707",3.06,19.10,1.6,121108769,4.8,0.4
Kristi Fox,"Rp417,634,689","Rp5,453,752","Rp5,453,752","Rp366,807,497",12.36,97.09,8.1,157990153,48.5,4.0
Beth Mathews,"Rp426,606,551","Rp13,320,855","Rp13,320,855","Rp228,151,807",9.9,121.21,10.1,14848532,60.6,5.1
Crystal Whitney,"Rp364,088,427","Rp21,130,254","Rp21,130,254","Rp193,934,386",6.43,186.63,15.6,11890173,93.3,7.8
Duane Price,"Rp282,956,829","Rp28,416,699","Rp11,734,816","Rp160,813,694",10.44,8.89,0.7,19335280,0.6,0.0
Eric Cruz,"Rp385,118,629","Rp7,657,693","Rp7,657,693","Rp332,979,967",4.64,258.62,21.6,140420653,129.3,10.8
Susan Thomas,"Rp13,344,769","Rp37,262,121","Rp18,052,465","Rp390,591,327",5.83,18.51,1.5,383918943,9.1,0.8
John Brown,"Rp254,061,375","Rp15,836,402","Rp15,836,402","Rp42,026,182",13.84,86.71,7.2,0,0.0,0.0
Pamela Moore,"Rp260,845,460","Rp46,558,992","Rp10,962,049","Rp175,537,491",5.07,4.83,0.4,45114761,0.6,0.1
Nathan Nichols DDS,"Rp242,968,651","Rp30,696,003","Rp14,851,424","Rp197,619,673",7.58,11.56,1.0,76135348,2.3,0.2
Meredith Hughes,"Rp489,546,681","Rp29,722,441","Rp29,722,441","Rp349,521,086",13.46,89.15,7.4,104747746,44.6,3.7
Diana Foster,"Rp116,328,085","Rp23,240,567","Rp23,240,567","Rp41,185,155",10.91,109.99,9.2,0,0.0,0.0
Holly Mendoza,"Rp40,349,564","Rp36,248,585","Rp31,536,204","Rp33,997,485",1.87,7.13,0.6,13822703,1.5,0.1
Morgan Henderson,"Rp254,577,003","Rp17,142,224","Rp17,142,224","Rp22,642,355",3.06,392.16,32.7,0,0.0,0.0
Nicole Mathis,"Rp109,052,376","Rp38,409,403","Rp10,388,512","Rp88,261,653",1.11,3.14,0.3,33735465,0.6,0.1
Robert Jackson,"Rp187,077,808","Rp19,045,907","Rp3,947,763","Rp82,076,110",9.83,5.20,0.4,0,0.0,0.0
John Gonzalez,"Rp116,406,362","Rp28,816,023","Rp28,816,023","Rp348,087,479",7.27,165.06,13.8,289884298,82.5,6.9
Robert Dominguez,"Rp490,404,538","Rp38,403,828","Rp38,403,828","Rp10,384,935",2.88,416.67,34.7,0,0.0,0.0
Dean Diaz,"Rp116,777,086","Rp18,734,209","Rp18,734,209","Rp17,155,092",14.41,83.28,6.9,0,0.0,0.0
Kathy Johns,"Rp72,250,665","Rp5,691,276","Rp5,691,276","Rp153,731,982",8.42,142.52,11.9,117606650,71.3,5.9
Edgar Brewer,"Rp210,427,519","Rp28,794,685","Rp23,650,278","Rp24,678,933",4.39,4.71,0.4,0,0.0,0.0
Charles Hunter,"Rp191,009,883","Rp39,081,386","Rp10,439,469","Rp162,280,883",8.01,5.46,0.5,66775942,1.1,0.1
Mrs. Olivia Williams MD,"Rp434,151,739","Rp9,549,546","Rp9,549,546","Rp28,593,741",10.51,114.18,9.5,0,0.0,0.0
Paul Simon,"Rp472,874,382","Rp27,784,623","Rp17,941,617","Rp312,682,684",2.07,30.12,2.5,76245493,3.8,0.3
Barbara Mckee,"Rp358,192,957","Rp28,827,438","Rp28,827,438","Rp332,445,480",4.85,247.42,20.6,153349002,123.7,10.3
Heather Cooper,"Rp399,151,677","Rp19,663,288","Rp19,663,288","Rp263,480,807",12.3,97.56,8.1,63904969,48.8,4.1
Amy Sharp,"Rp161,079,598","Rp33,039,702","Rp16,391,234","Rp8,133,211",7.44,0.49,0.0,0,0.0,0.0
Paul Mcknight,"Rp330,721,458","Rp16,081,782","Rp16,081,782","Rp99,542,873",8.65,138.73,11.6,0,0.0,0.0
Denise Roberts,"Rp42,049,003","Rp31,523,343","Rp3,443,717","Rp254,025,392",7.06,8.59,0.7,233000891,4.0,0.3
Christine Wu,"Rp71,136,438","Rp44,555,914","Rp6,409,352","Rp121,683,198",1.61,3.18,0.3,86114979,1.1,0.1
Lisa Zavala,"Rp474,848,115","Rp46,669,391","Rp33,050,824","Rp230,544,257",3.32,16.17,1.3,0,0.0,0.0
Ryan Gordon PhD,"Rp406,917,567","Rp4,072,647","Rp4,072,647","Rp285,051,608",7.24,165.75,13.8,81592825,82.9,6.9
Gary Roberson,"Rp404,118,648","Rp38,185,539","Rp17,329,502","Rp386,957,373",3.93,17.49,1.5,184898049,4.3,0.4
David Hickman,"Rp209,502,978","Rp45,971,495","Rp10,421,928","Rp151,974,663",1.7,4.25,0.4,47223174,0.7,0.1
Steven Weaver,"Rp482,190,436","Rp41,660,995","Rp27,492,849","Rp144,289,643",12.81,9.19,0.8,0,0.0,0.0
Johnathan Parker,"Rp471,901,618","Rp11,234,679","Rp11,234,679","Rp171,222,944",14.74,81.41,6.8,0,0.0,0.0
Stacy Mitchell,"Rp247,544,070","Rp26,240,984","Rp3,308,507","Rp72,552,809",12.1,3.07,0.3,0,0.0,0.0
Jennifer Black,"Rp205,524,628","Rp29,471,618","Rp22,843,837","Rp212,636,706",12.95,23.83,2.0,109874392,7.0,0.6
April Sanchez,"Rp334,266,824","Rp25,383,810","Rp11,331,795","Rp141,494,515",4.39,9.71,0.8,0,0.0,0.0
